Date,Number of Cases
Jan 22,0
Jan 23,0
Jan 24,1
Jan 25,0
Jan 26,3
Jan 27,0
Jan 28,0
Jan 29,0
Jan 30,1
Jan 31,1
Feb 1,1
Feb 2,0
Feb 3,3
Feb 4,0
Feb 5,0
Feb 6,1
Feb 7,0
Feb 8,0
Feb 9,0
Feb 10,0
Feb 11,1
Feb 12,0
Feb 13,2
Feb 14,0
Feb 15,0
Feb 16,0
Feb 17,0
Feb 18,0
Feb 19,0
Feb 20,0
Feb 21,19
Feb 22,1
Feb 23,0
Feb 24,18
Feb 25,0
Feb 26,6
Feb 27,0
Feb 28,3
Feb 29,0
Mar 1,0
Mar 2,2
Mar 3,44
Mar 4,21
Mar 5,0
Mar 6,84
Mar 7,0
Mar 8,0
Mar 9,259
Mar 10,224
Mar 11,0
Mar 12,291
Mar 13,277
Mar 14,414
Mar 15,36
Mar 16,0
Mar 17,"1,822"
Mar 18,"3,551"
Mar 19,"3,351"
Mar 20,"4,777"
Mar 21,0
Mar 22,0
Mar 23,"16,354"
Mar 24,"20,341"
Mar 25,0
Mar 26,"16,420"
Mar 27,0
Mar 28,"16,894"
Mar 29,"18,093"
Mar 30,"19,332"
Mar 31,"17,987"
Apr 1,"22,559"
Apr 2,"24,103"
Apr 3,"26,298"
Apr 4,"28,103"
Apr 5,"32,105"
Apr 6,"33,510"
Apr 7,"26,493"
Apr 8,"29,510"
Apr 9,"31,709"
Apr 10,"30,859"
Apr 11,"35,386"
Apr 12,"31,606"
Apr 13,"31,633"
Apr 14,"29,308"
Apr 15,"24,446"
Apr 16,"25,802"
Apr 17,"28,711"
Apr 18,"32,549"
Apr 19,"30,023"
Apr 20,"28,252"
Apr 21,"27,668"
Apr 22,"25,634"
Apr 23,"24,019"
Apr 24,"29,127"
Apr 25,"30,719"
Apr 26,"38,509"
Apr 27,"32,417"
Apr 28,"29,218"
Apr 29,"22,541"
Apr 30,"20,517"
May 1,"31,379"
May 2,"31,774"
May 3,"26,753"
May 4,"31,839"
May 5,"29,266"
May 6,"16,200"
May 7,"22,267"
May 8,"22,119"
May 9,"30,204"
May 10,"25,870"
May 11,"26,642"
May 12,"23,767"
May 13,"18,044"
May 14,"21,424"
May 15,"20,840"
May 16,"27,090"
May 17,"22,813"
May 18,"31,967"
May 19,"13,227"
May 20,"24,417"
May 21,"23,310"
May 22,"22,787"
May 23,"20,475"
May 24,"24,151"
May 25,"26,158"
May 26,"15,253"
May 27,"24,886"
May 28,"16,362"
May 29,"19,606"
May 30,"21,214"
May 31,"17,962"
June 1,"23,482"
June 2,"26,116"
June 3,"14,692"
June 4,"24,890"
June 5,"14,583"
June 6,"20,069"
June 7,"28,922"
June 8,"28,918"
June 9,"17,848"
June 10,"17,536"
June 11,"17,235"
June 12,"20,315"
June 13,"21,745"
June 14,"22,133"
June 15,"25,314"
June 16,"21,754"
June 17,"18,514"
June 18,"27,921"
June 19,"23,139"
June 20,"23,046"
June 21,"36,617"
June 22,"32,349"
June 23,"27,575"
June 24,"26,519"
June 25,"34,191"
June 26,"37,601"
June 27,"40,526"
June 28,"44,458"
June 29,"44,580"
June 30,"41,008"
July 1,"35,757"
July 2,"43,556"
July 3,"54,271"
July 4,"53,213"
July 5,"51,933"
July 6,"57,186"
July 7,"43,686"
July 8,"46,194"
July 9,"50,263"
July 10,"64,630"
July 11,"58,975"
July 12,"66,281"
July 13,"62,369"
July 14,"60,113"
July 15,"58,720"
July 16,"60,711"
July 17,"67,165"
July 18,"71,484"
July 19,"74,354"
July 20,"66,963"
July 21,"62,788"
July 22,"57,276"
July 23,"62,929"
July 24,"69,641"
July 25,"71,714"
July 26,"74,235"
July 27,"63,968"
July 28,"61,498"
July 29,"54,022"
July 30,"59,629"
July 31,"65,406"
August 1,"67,823"
August 2,"67,499"
August 3,"58,388"
August 4,"47,183"
August 5,"49,151"
August 6,"49,629"
August 7,"53,373"
August 8,"55,318"
August 9,"61,028"
August 10,"53,893"
August 11,"47,964"
August 12,"39,894"
August 13,"54,791"
August 14,"55,907"
August 15,"52,799"
August 16,"55,359"
August 17,"54,375"
August 18,"41,073"
August 19,"39,125"
August 20,"37,908"
August 21,"46,259"
August 22,"43,952"
August 23,"45,960"
August 24,"44,946"
August 25,"37,765"
August 26,"32,883"
August 27,"37,030"
August 28,"45,484"
August 29,"46,194"
August 30,"44,002"
August 31,"43,983"
September 1,"37,068"
September 2,"31,808"
September 3,"42,662"
September 4,"39,402"
September 5,"44,563"
September 6,"49,131"
September 7,"45,350"
September 8,"33,486"
September 9,"26,015"
September 10,"23,204"
September 11,"31,988"
September 12,"37,128"
September 13,"45,523"
September 14,"40,126"
September 15,"35,177"
September 16,"34,111"
September 17,"34,078"
September 18,"40,795"
September 19,"42,618"
September 20,"48,266"
September 21,"41,695"
September 22,"36,766"
September 23,"39,145"
September 24,"49,176"
September 25,"40,043"
September 26,"41,254"
September 27,"50,070"
September 28,"48,958"
September 29,"35,217"
September 30,"32,688"
October 1,"38,476"
October 2,"44,985"
October 3,"46,293"
October 4,"49,465"
October 5,"49,036"
October 6,"36,136"
October 7,"38,920"
October 8,"38,904"
October 9,"52,458"
October 10,"54,232"
October 11,"57,828"
October 12,"53,055"
October 13,"45,325"
October 14,"46,308"
October 15,"46,309"
October 16,"59,106"
October 17,"63,044"
October 18,"69,834"
October 19,"52,508"
October 20,"46,378"
October 21,"59,018"
October 22,"60,155"
October 23,"63,361"
October 24,"72,342"
October 25,"82,630"
October 26,"82,626"
October 27,"62,364"
October 28,"63,145"
October 29,"72,042"
October 30,"80,384"
October 31,"89,048"
November 1,"99,356"
November 2,"80,379"
November 3,"75,888"
November 4,"85,412"
November 5,"88,163"
November 6,"106,050"
November 7,"116,780"
November 8,"131,821"
November 9,"127,151"
November 10,"104,659"
November 11,"122,231"
November 12,"133,935"